,Au,Az,B prime,B/G,Bulk modulus,C11,C12,C44,Crystal structure,Formation enthalpy,Lattice constant,Poisson ratio,Shear modulus,Total energy,Wigner-Seitz radius,Youngs modulus,Co,Cr,Zr,Fe,Al,Mo,Ta,Cu,W,V,Mn,Hf,Pt,Nb,Ni
197,2.554048442638305,3.8699740357506895,7.922514836645327,2.3416365279479323,189.5138353898707,237.22285576790412,165.65932520085403,138.47450260056735,0,-0.0058041296367719,2.908125891499599,0.3130820061798721,80.93221690385445,-1954.407221519058,2.705864478752936,212.54127547339553,0.0,0.25,0.0,0.0,0.28571429,0.0,0.0,0.0,0.0,0.10714286,0.0,0.0,0.0,0.0,0.35714286
198,0.1062391987711173,1.3450855041918135,4.255239192291621,1.9687530440989895,224.08070333965583,351.1286942588333,160.55670788006714,128.16780819155906,0,0.013270754039695,3.121414629837865,0.2828057170653671,113.81859396296583,-11248.08367890956,2.9043188931489854,292.0142860880685,0.0,0.22857143,0.0,0.0,0.22857143,0.28571429,0.0,0.0,0.25714286,0.0,0.0,0.0,0.0,0.0,0.0
199,5.14351417962202,6.122941624635914,5.803338052498563,1.7728689516166054,114.84092612872394,143.24329650064487,100.63974094276348,130.4295418414204,0,0.0034176095323346,2.9066996990613942,0.2626058980313545,64.77688383227947,-2313.872366497868,2.704537478615258,163.57535116545586,0.0,0.25,0.0,0.0,0.22222222,0.0,0.0,0.27777778,0.0,0.0,0.0,0.0,0.0,0.0,0.25
200,0.591850333597356,1.9909310450105429,4.420497717248476,1.8796237493972323,184.0110033039707,270.44504350779,140.79398320206107,129.0631604906049,0,0.0119553410195294,3.0153037388071686,0.2740579770381039,97.89778585367434,-3365.721814582381,2.805588060454281,249.45491000248367,0.0,0.25,0.0,0.27777778,0.22222222,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,0.214399425490801,1.5213592385157804,6.630049334548237,2.121482274410918,184.63443415638025,274.8808106322916,139.51124591842455,102.97286894565072,0,0.0016990119802358,3.0952688309592515,0.2963187139503916,87.03086345967635,-3190.7663460876197,2.8799915458835006,225.6394739880796,0.0,0.28571429,0.0,0.0,0.22857143,0.25714286,0.0,0.0,0.0,0.0,0.0,0.0,0.22857143,0.0,0.0
202,0.2746531108387682,1.6063471519132495,5.207667600525321,2.1450034398347757,175.21287270584386,257.2065110849216,134.21605351630498,98.78268561392734,0,0.0132224939529805,3.116378631309608,0.2982517931326824,81.6841919467225,-3140.856830191247,2.899633150495102,212.09329733085343,0.0,0.29411765,0.0,0.0,0.23529412,0.0,0.0,0.0,0.0,0.20588235,0.0,0.0,0.0,0.26470588,0.0
203,0.2327545803367767,1.5479439108773951,4.293892081065371,1.8929553125665364,198.8643869209061,306.67824176105063,144.95745950083383,125.16735008101584,0,0.0086796874920764,3.046170787808988,0.2754109733610489,105.0549823340936,-7330.336376349507,2.834308292856215,267.97655455030826,0.0,0.3125,0.0,0.0,0.25,0.0,0.0,0.0,0.1875,0.25,0.0,0.0,0.0,0.0,0.0
204,1.6912314420381396,3.08523513032393,4.201931373902096,2.1469583212428156,141.08152536527314,185.6326166136069,118.80597974110626,103.08794386021972,0,-0.0086394852864941,3.1770836796694915,0.2984108041981684,65.71227953955105,-2925.5464775209584,2.9561161365027284,170.64306744528665,0.0,0.0,0.0,0.0,0.30769231,0.23076923,0.0,0.07692308,0.0,0.0,0.0,0.0,0.38461538,0.0,0.0
205,3.7830285665087384,4.950525028687089,4.287801482758168,2.1124187721210537,114.77615041880344,142.17103733547933,101.0787069604655,101.71430500429234,0,-0.0129155905624429,3.1335723297977354,0.2955639089975936,54.33399472376309,-1605.2293350751315,2.9156310198216673,140.78632519154624,0.0,0.0,0.0,0.0,0.34782609,0.0,0.0,0.13043478,0.0,0.0,0.0,0.0,0.43478261,0.0,0.08695652
206,2.258178659745724,3.6043749343667537,4.481600695871711,2.2426047363871775,138.7068596479029,176.81612632885435,119.65222630742716,103.02006419393965,0,0.0013984510073896,3.141840125557213,0.3058959546126627,61.850783331243115,-2994.470548687593,2.9233237868124453,161.54137548378938,0.0,0.0,0.0,0.0,0.25806452,0.19354839,0.0,0.22580645,0.0,0.0,0.0,0.0,0.32258065,0.0,0.0
207,5.405212355810345,6.346783505225013,-18.75141687701137,4.1614010127560475,239.18210063203867,263.78340487937396,226.88144850837105,117.10436400300728,1,-0.0063862273627819,3.665990340117895,0.388758720426932,57.47634027551484,-2399.548238992963,2.7073276755548648,159.64153755169386,0.0,0.0,0.0,0.21212121,0.24242424,0.0,0.0,0.3030303,0.0,0.0,0.0,0.0,0.0,0.0,0.24242424
208,5.736492096788233,6.629570752233818,-14.88209741810419,2.7101188638688782,148.92156210751548,171.75873023387092,137.50297804433777,113.55046640574928,1,-0.0050130434201491,3.681362761523308,0.3357128787961117,54.950195761864066,-2362.39505357542,2.7186801828039227,146.7953683429787,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.1875
209,2.405622715011635,3.737098308184608,4.4888996873942775,2.2996720031264055,140.7658228927223,177.6438507536539,122.32680896225652,103.36261164620424,0,0.0065985004189315,3.1244232228017905,0.3101029295017361,61.21126086735459,-3207.014265564781,2.9071182371718516,160.38610436163248,0.0,0.0,0.0,0.0,0.23529412,0.20588235,0.0,0.29411765,0.0,0.0,0.0,0.0,0.26470588,0.0,0.0
210,3.159578059259079,4.406019487958082,4.462987461998881,2.2358493215674624,128.94940318100032,160.28096394461792,113.28362279919152,103.53560048448146,0,0.0007678842687255,3.0672667257951525,0.3053855769864262,57.67356589602343,-1939.5456229311312,2.8539369992370456,150.57248218809045,0.0,0.0,0.0,0.0,0.24242424,0.0,0.0,0.3030303,0.0,0.21212121,0.0,0.0,0.24242424,0.0,0.0
